,Year,Type,Country,Area,Activity,Sex ,Fatal (Y/N),Month,New_Age
812,2012,Unprovoked,REUNION,Saint-Benoit,Surfing,M,N,3,31
813,2012,Unprovoked,USA,Florida,Surfing,M,N,3,19
814,2012,Invalid,SAUDI ARABIA,Tabuk Province,Surfing,M,,3,42
815,2012,Provoked,CHILE,Antofagasta Province,Fishing,M,N,3,
816,2012,Provoked,USA,Florida,Surfing,M,N,2,
817,2012,Unprovoked,AUSTRALIA,New South Wales,Fishing,M,N,2,
818,2012,Boat,SOUTH AFRICA,Western Cape Province,Fishing,,N,2,
819,2012,Unprovoked,AUSTRALIA,Queensland,Surfing,M,N,2,29
820,2012,Unprovoked,USA,Hawaii,Water Sports,,N,1,
821,2012,Unprovoked,AUSTRALIA,Western Australia,Water Sports,M,N,1,26
822,2012,Unprovoked,BAHAMAS,,Water Sports,M,N,1,
823,2012,Provoked,TAIWAN,Taitung ,Fishing,M,N,1,24
824,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,1,44
825,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Y,1,25
826,2012,Unprovoked,USA,Oregon,Surfing,M,N,1,53
827,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,1,28
828,2012,Unprovoked,AUSTRALIA,Queensland,Fishing,M,N,1,34
829,2011,Unprovoked,USA,Florida,,M,N,12,
830,2011,Invalid,ANTIGUA,St John's,Swimming,M,,12,
831,2011,Unprovoked,ECUADOR,Santa Elena,Surfing,M,N,12,23
832,2011,Unprovoked,USA,Florida,Surfing,M,N,12,27
833,2011,Provoked,USA,Hawaii,Water Sports,M,N,12,
